"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"Achievement_Desc_Class3Level10","Achievement_Desc_Class3Level10","Reach Level 10 on The Melting Remnant.","Achievement_Desc_Class3Level10","","","",""
"Achievement_Desc_Class3Level5","Achievement_Desc_Class3Level5","Reach Level 5 on The Melting Remnant.","Achievement_Desc_Class3Level5","","","",""
"Achievement_Desc_Class3Unlock","Achievement_Desc_Class3Unlock","Unlock The Melting Remnant.","Achievement_Desc_Class3Unlock","","","",""
"Achievement_Desc_Class3WinAllCovenants","Achievement_Desc_Class3WinAllCovenants","Win a run with all covenants enabled on The Melting Remnant.","Achievement_Desc_Class3WinAllCovenants","","","",""
"Achievement_Desc_Class4Level10","Achievement_Desc_Class4Level10","Reach Level 10 on The Stygian Guard.","Achievement_Desc_Class4Level10","","","",""
"Achievement_Desc_Class4Level5","Achievement_Desc_Class4Level5","Reach Level 5 on The Stygian Guard.","Achievement_Desc_Class4Level5","","","",""
"Achievement_Desc_Class4Unlock","Achievement_Desc_Class4Unlock","Unlock The Stygian Guard.","Achievement_Desc_Class4Unlock","","","",""
"Achievement_Desc_Class4WinAllCovenants","Achievement_Desc_Class4WinAllCovenants","Win a run with all covenants enabled on The Stygian Guard.","Achievement_Desc_Class4WinAllCovenants","","","",""
"Achievement_Desc_Class5Level10","Achievement_Desc_Class5Level10","Reach Level 10 on The Umbra.","Achievement_Desc_Class5Level10","","","",""
"Achievement_Desc_Class5Level5","Achievement_Desc_Class5Level5","Reach Level 5 on The Umbra.","Achievement_Desc_Class5Level5","","","",""
"Achievement_Desc_Class5Unlock","Achievement_Desc_Class5Unlock","Unlock The Umbra.","Achievement_Desc_Class5Unlock","","","",""
"Achievement_Desc_Class5WinAllCovenants","Achievement_Desc_Class5WinAllCovenants","Win a run with all covenants enabled on The Umbra.","Achievement_Desc_Class5WinAllCovenants","","","",""
"Achievement_Desc_DailyChallengeScoreTier1","Achievement_Desc_DailyChallengeScoreTier1","Score at least 30,000 points in a Daily Challenge.","Achievement_Desc_DailyChallengeScoreTier1","","","",""
"Achievement_Desc_DailyChallengeScoreTier2","Achievement_Desc_DailyChallengeScoreTier2","Score at least 40,000 points in a Daily Challenge.","Achievement_Desc_DailyChallengeScoreTier2","","","",""
"Achievement_Desc_DailyChallengeScoreTier3","Achievement_Desc_DailyChallengeScoreTier3","Score at least 50,000 points in a Daily Challenge.","Achievement_Desc_DailyChallengeScoreTier3","","","",""
"Achievement_Desc_DefeatBigBoss1Early","Achievement_Desc_DefeatBigBoss1Early","Defeat Daedalus before his combat phase.","Achievement_Desc_DefeatBigBoss1Early","","","",""
"Achievement_Desc_DefeatBigBoss1VariantEarly","Achievement_Desc_DefeatBigBoss1VariantEarly","Defeat Talos before her combat phase.","Achievement_Desc_DefeatBigBoss1VariantEarly","","","",""
"Achievement_Desc_DefeatBigBoss2Early","Achievement_Desc_DefeatBigBoss2Early","Defeat Fel before her combat phase.","Achievement_Desc_DefeatBigBoss2Early","","","",""
"Achievement_Desc_DefeatBigBoss2VariantEarly","Achievement_Desc_DefeatBigBoss2VariantEarly","Defeat Archus before his combat phase.","Achievement_Desc_DefeatBigBoss2VariantEarly","","","",""
"Achievement_Desc_DefeatBigBoss3Early","Achievement_Desc_DefeatBigBoss3Early","Defeat Seraph before his combat phase.","Achievement_Desc_DefeatBigBoss3Early","","","",""
"Achievement_Desc_EventHiddenUpgrade","Achievement_Desc_EventHiddenUpgrade","Find a rare flower.","Achievement_Desc_EventHiddenUpgrade","","","",""
"Achievement_Desc_EventObtainDante","Achievement_Desc_EventObtainDante","Recruit Dante the Deceptive.","Achievement_Desc_EventObtainDante","","","",""
"Achievement_Desc_EventPickpocketChest","Achievement_Desc_EventPickpocketChest","Pickpocket a chest.","Achievement_Desc_EventPickpocketChest","","","",""
"Achievement_Desc_FirstLevelUp","Achievement_Desc_FirstLevelUp","Level up any clan.","Achievement_Desc_FirstLevelUp","","","",""
"Achievement_Desc_Level10AllClasses","Achievement_Desc_Level10AllClasses","Achieve max level on all clans.","Achievement_Desc_Level10AllClasses","","","",""
"Achievement_Desc_LoseRun","Achievement_Desc_LoseRun","Lose a run.","Achievement_Desc_LoseRun","","","",""
"Achievement_Desc_MakeCustomChallenge","Achievement_Desc_MakeCustomChallenge","Create a Custom Challenge.","Achievement_Desc_MakeCustomChallenge","","","",""
"Achievement_Desc_MonsterDealBigDamage","Achievement_Desc_MonsterDealBigDamage","Have a monster deal at least 60 damage in one hit.","Achievement_Desc_MonsterDealBigDamage","","","",""
"Achievement_Desc_PlayDailyChallenge","Achievement_Desc_PlayDailyChallenge","Start a Daily Challenge.","Achievement_Desc_PlayDailyChallenge","","","",""
"Achievement_Desc_PlayImpCard","Achievement_Desc_PlayImpCard","Play an Imp card.","Achievement_Desc_PlayImpCard","","","",""
"Achievement_Desc_SpellDealBigDamage","Achievement_Desc_SpellDealBigDamage","Have a spell deal at least 120 damage in one hit.","Achievement_Desc_SpellDealBigDamage","","","",""
"Achievement_Desc_UpgradeChampionTwice","Achievement_Desc_UpgradeChampionTwice","Upgrade your Champion twice.","Achievement_Desc_UpgradeChampionTwice","","","",""
"Achievement_Desc_ViewCredits","Achievement_Desc_ViewCredits","View the credits.","Achievement_Desc_ViewCredits","","","",""
"Achievement_Desc_WinRunFewCards","Achievement_Desc_WinRunFewCards","Win a run with 10 or fewer cards at the end of the run.","Achievement_Desc_WinRunFewCards","","","",""
"Achievement_Desc_WinRunGooglyEyes","Achievement_Desc_WinRunGooglyEyes","Win a run with googly eyes enabled.","Achievement_Desc_WinRunGooglyEyes","","","",""
"Achievement_Desc_WinRunManyCards","Achievement_Desc_WinRunManyCards","Win a run with at least 40 cards at the end of the run.","Achievement_Desc_WinRunManyCards","","","",""
"Achievement_Desc_WinRunNoBlessings","Achievement_Desc_WinRunNoBlessings","Win a run without collecting any artifacts.","Achievement_Desc_WinRunNoBlessings","","","",""
"Achievement_Desc_WinRunNoChampion","Achievement_Desc_WinRunNoChampion","Win a run without a Champion.","Achievement_Desc_WinRunNoChampion","","","",""
"Achievement_Desc_WinRunZeroCards","Achievement_Desc_WinRunZeroCards","Win a run with 0 cards at the end of the run.","Achievement_Desc_WinRunZeroCards","","","",""
"Achievement_Title_AscensionTier1","Achievement_Title_AscensionTier1","The Long Journey Begins","Achievement_Title_AscensionTier1","","","",""
"Achievement_Title_AscensionTier2","Achievement_Title_AscensionTier2","The Devil is in the Details","Achievement_Title_AscensionTier2","","","",""
"Achievement_Title_AscensionTier3","Achievement_Title_AscensionTier3","Hell Hath No Fury","Achievement_Title_AscensionTier3","","","",""
"Achievement_Title_AscensionTier4","Achievement_Title_AscensionTier4","We Were Born of Monsters","Achievement_Title_AscensionTier4","","","",""
"Achievement_Title_BeatLevel1Boss","Achievement_Title_BeatLevel1Boss","Early Survivor","Achievement_Title_BeatLevel1Boss","","","",""
"Achievement_Title_BeatLevel6Boss","Achievement_Title_BeatLevel6Boss","Angel Hunter","Achievement_Title_BeatLevel6Boss","","","",""
"Achievement_Title_BeatLevel8Boss","Achievement_Title_BeatLevel8Boss","Seraph the Defeated","Achievement_Title_BeatLevel8Boss","","","",""
"Achievement_Title_BotherShopkeeper","Achievement_Title_BotherShopkeeper","Buy Something, Won't You?","Achievement_Title_BotherShopkeeper","","","",""
"Achievement_Title_Class1Level10","Achievement_Title_Class1Level10","Hellhorned Dominance","Achievement_Title_Class1Level10","","","",""
"Achievement_Title_Class1Level5","Achievement_Title_Class1Level5","The Breaker of Horns","Achievement_Title_Class1Level5","","","",""
"Achievement_Title_Class1WinAllCovenants","Achievement_Title_Class1WinAllCovenants","The Hellhorned","Achievement_Title_Class1WinAllCovenants","","","",""
"Achievement_Title_Class2Level10","Achievement_Title_Class2Level10","Fully Awakened","Achievement_Title_Class2Level10","","","",""
"Achievement_Title_Class2Level5","Achievement_Title_Class2Level5","A Semblance of Sentience","Achievement_Title_Class2Level5","","","",""
"Achievement_Title_Class2WinAllCovenants","Achievement_Title_Class2WinAllCovenants","The Awoken","Achievement_Title_Class2WinAllCovenants","","","",""
"Achievement_Title_Class3Level10","Achievement_Title_Class3Level10","An Endless Flicker","Achievement_Title_Class3Level10","","","",""
"Achievement_Title_Class3Level5","Achievement_Title_Class3Level5","A Vicarious Remnant","Achievement_Title_Class3Level5","","","",""
"Achievement_Title_Class3Unlock","Achievement_Title_Class3Unlock","Guided by Candles","Achievement_Title_Class3Unlock","","","",""
"Achievement_Title_Class3WinAllCovenants","Achievement_Title_Class3WinAllCovenants","The Melting Remnant","Achievement_Title_Class3WinAllCovenants","","","",""
"Achievement_Title_Class4Level10","Achievement_Title_Class4Level10","Stygian Defender","Achievement_Title_Class4Level10","","","",""
"Achievement_Title_Class4Level5","Achievement_Title_Class4Level5","Guardian of the Styx","Achievement_Title_Class4Level5","","","",""
"Achievement_Title_Class4Unlock","Achievement_Title_Class4Unlock","Into the Deep Sea","Achievement_Title_Class4Unlock","","","",""
"Achievement_Title_Class4WinAllCovenants","Achievement_Title_Class4WinAllCovenants","The Stygian Guard","Achievement_Title_Class4WinAllCovenants","","","",""
"Achievement_Title_Class5Level10","Achievement_Title_Class5Level10","Penultimate","Achievement_Title_Class5Level10","","","",""
"Achievement_Title_Class5Level5","Achievement_Title_Class5Level5","A Wisp Reanimated","Achievement_Title_Class5Level5","","","",""
"Achievement_Title_Class5Unlock","Achievement_Title_Class5Unlock","Diabolical Automation","Achievement_Title_Class5Unlock","","","",""
"Achievement_Title_Class5WinAllCovenants","Achievement_Title_Class5WinAllCovenants","The Umbra","Achievement_Title_Class5WinAllCovenants","","","",""
"Achievement_Title_DailyChallengeScoreTier1","Achievement_Title_DailyChallengeScoreTier1","Trainee of the Pyre","Achievement_Title_DailyChallengeScoreTier1","","","",""
"Achievement_Title_DailyChallengeScoreTier2","Achievement_Title_DailyChallengeScoreTier2","Apprentice of the Pyre","Achievement_Title_DailyChallengeScoreTier2","","","",""
"Achievement_Title_DailyChallengeScoreTier3","Achievement_Title_DailyChallengeScoreTier3","Master of the Pyre","Achievement_Title_DailyChallengeScoreTier3","","","",""
"Achievement_Title_DefeatBigBoss1Early","Achievement_Title_DefeatBigBoss1Early","Dead-alus","Achievement_Title_DefeatBigBoss1Early","","","","Pun with the boss name Daedalus and the word Dead."
"Achievement_Title_DefeatBigBoss1VariantEarly","Achievement_Title_DefeatBigBoss1VariantEarly","Ta-ta Talos","Achievement_Title_DefeatBigBoss1VariantEarly","","","","Pun with the boss name Talos and ""Ta-ta"" to mean ""goodbye"""
"Achievement_Title_DefeatBigBoss2Early","Achievement_Title_DefeatBigBoss2Early","Li-Fel-less","Achievement_Title_DefeatBigBoss2Early","","","","Pun with the boss name Fel and the word Lifeless."
"Achievement_Title_DefeatBigBoss2VariantEarly","Achievement_Title_DefeatBigBoss2VariantEarly","Archpocalypse","Achievement_Title_DefeatBigBoss2VariantEarly","","","","Pun with the boss name Archus and Apocalypse"
"Achievement_Title_DefeatBigBoss3Early","Achievement_Title_DefeatBigBoss3Early","Sans Seraph","Achievement_Title_DefeatBigBoss3Early","","","","Pun with the boss name Seraph and Sans to indicate a lack of Seraph."
"Achievement_Title_EventHiddenUpgrade","Achievement_Title_EventHiddenUpgrade","It’s a Secret...","Achievement_Title_EventHiddenUpgrade","","","",""
"Achievement_Title_EventObtainDante","Achievement_Title_EventObtainDante","Dante’s Inferno","Achievement_Title_EventObtainDante","","","",""
"Achievement_Title_EventPickpocketChest","Achievement_Title_EventPickpocketChest","Thief! Stop!","Achievement_Title_EventPickpocketChest","","","",""
"Achievement_Title_FirstLevelUp","Achievement_Title_FirstLevelUp","Level Up!","Achievement_Title_FirstLevelUp","","","",""
"Achievement_Title_Level10AllClasses","Achievement_Title_Level10AllClasses","Igniter of Pyre, Savior of Hell","Achievement_Title_Level10AllClasses","","","",""
"Achievement_Title_LoseRun","Achievement_Title_LoseRun","You Died!","Achievement_Title_LoseRun","","","",""
"Achievement_Title_MakeCustomChallenge","Achievement_Title_MakeCustomChallenge","My Game, My Rules","Achievement_Title_MakeCustomChallenge","","","",""
"Achievement_Title_MonsterDealBigDamage","Achievement_Title_MonsterDealBigDamage","Hell’s Finest","Achievement_Title_MonsterDealBigDamage","","","",""
"Achievement_Title_PlayDailyChallenge","Achievement_Title_PlayDailyChallenge","Is That a Challenge?","Achievement_Title_PlayDailyChallenge","","","",""
"Achievement_Title_PlayImpCard","Achievement_Title_PlayImpCard","S-imp-le!","Achievement_Title_PlayImpCard","","","",""
"Achievement_Title_SpellDealBigDamage","Achievement_Title_SpellDealBigDamage","All Brain, No Brawn","Achievement_Title_SpellDealBigDamage","","","",""
"Achievement_Title_UpgradeChampionTwice","Achievement_Title_UpgradeChampionTwice","Upgraded Champion","Achievement_Title_UpgradeChampionTwice","","","",""
"Achievement_Title_ViewCredits","Achievement_Title_ViewCredits","Creators of Hell","Achievement_Title_ViewCredits","","","",""
"Achievement_Title_WinRunFewCards","Achievement_Title_WinRunFewCards","The Ragtag Bunch","Achievement_Title_WinRunFewCards","","","",""
"Achievement_Title_WinRunGooglyEyes","Achievement_Title_WinRunGooglyEyes","20/20 Vision","Achievement_Title_WinRunGooglyEyes","","","",""
"Achievement_Title_WinRunManyCards","Achievement_Title_WinRunManyCards","A Cramped Train","Achievement_Title_WinRunManyCards","","","",""
"Achievement_Title_WinRunNoBlessings","Achievement_Title_WinRunNoBlessings","Only Determination","Achievement_Title_WinRunNoBlessings","","","",""
"Achievement_Title_WinRunNoChampion","Achievement_Title_WinRunNoChampion","On Your Own","Achievement_Title_WinRunNoChampion","","","",""
"Achievement_Title_WinRunZeroCards","Achievement_Title_WinRunZeroCards","How to Deckbuilder","Achievement_Title_WinRunZeroCards","","","",""
"AttackFormat","AttackFormat","{0}[attack]","AttackFormat","","","","{0}: A number
[attack]: <sprite name=""Attack"">"
"Back","Back","Back","Back","","","",""
"BattleMusic_Archus_Name","BattleMusic_Archus_Name","Archus, Darkness Incarnate","BattleMusic_Archus_Name","","","",""
"BattleMusic_Bogwurm_Name","BattleMusic_Bogwurm_Name","Lost to the Bogs","BattleMusic_Bogwurm_Name","","","",""
"BattleMusic_Crucible_Name","BattleMusic_Crucible_Name","Simple Machines","BattleMusic_Crucible_Name","","","",""
"BattleMusic_Daedalus_Name","BattleMusic_Daedalus_Name","Daedalus, the Professor","BattleMusic_Daedalus_Name","","","",""
"BattleMusic_FallenLords","BattleMusic_FallenLords","Fallen Lords","BattleMusic_FallenLords","","","",""
"BattleMusic_Fel_Name","BattleMusic_Fel_Name","Fel, the Wings of Light","BattleMusic_Fel_Name","","","",""
"BattleMusic_FrozenHeart_Name","BattleMusic_FrozenHeart_Name","The Frozen Heart","BattleMusic_FrozenHeart_Name","","","",""
"BattleMusic_Limbo","BattleMusic_Limbo","Initial Descent","BattleMusic_Limbo","","","",""
"BattleMusic_Original_Name","BattleMusic_Original_Name","Warmongers","BattleMusic_Original_Name","","","",""
"BattleMusic_Seraph_Name","BattleMusic_Seraph_Name","Seraph the Traitor","BattleMusic_Seraph_Name","","","",""
"BattleMusic_StyxSea","BattleMusic_StyxSea","Crossing the Styx","BattleMusic_StyxSea","","","",""
"BattleMusic_TLD_Name","BattleMusic_TLD_Name","The Last Divinity","BattleMusic_TLD_Name","","","",""
"BattleMusic_Talos_Name","BattleMusic_Talos_Name","Talos, the Architect","BattleMusic_Talos_Name","","","",""
"BattleMusic_WaxenArches_Name","BattleMusic_WaxenArches_Name","Remnant Waltz","BattleMusic_WaxenArches_Name","","","",""
"BattleMusic_Wildwood_Name","BattleMusic_Wildwood_Name","Call of the Wildwood","BattleMusic_Wildwood_Name","","","",""
"BattlePreviewUI_BodyTooltip","BattlePreviewUI_BodyTooltip","Preview the result of combat. Current setting: {0}","BattlePreviewUI_BodyTooltip","","","","{0}: ""Normal"", ""Fast"", or ""Ultra"""
"BattlePreviewUI_Disabled","BattlePreviewUI_Disabled","Disabled","BattlePreviewUI_Disabled","","","",""
"BattlePreviewUI_Enabled","BattlePreviewUI_Enabled","Enabled","BattlePreviewUI_Enabled","","","",""
"BattlePreviewUI_TitleTooltip","BattlePreviewUI_TitleTooltip","Combat Preview","BattlePreviewUI_TitleTooltip","","","",""
"BattleProgressWarning","BattleProgressWarning","Your progress in this battle will not be saved.","BattleProgressWarning","","","",""
"Battle_Level1HeavyRage_Description","Battle_Level1HeavyRage_Description","These individual attackers start out strong and weaken over time. Delay their assault and fight them higher in the tower to win.","Battle_Level1HeavyRage_Description","","","",""
"Battle_Level1HeavyRage_Name","Battle_Level1HeavyRage_Name","Aggressive Assault","Battle_Level1HeavyRage_Name","","","",""
"BossTarget_TooltipTitle","BossTarget_TooltipTitle","Final Boss: {0}","BossTarget_TooltipTitle","","","","{0}: Name of the boss"
"BossTooltipBody_Armor","BossTooltipBody_Armor","This boss has armor to defend against your attacks.","BossTooltipBody_Armor","","","",""
"BossTooltipTitle_Armor","BossTooltipTitle_Armor","Armor Boss Dude!","BossTooltipTitle_Armor","","","",""
"BuildNumberFormat","BuildNumberFormat","Build #{0}","BuildNumberFormat","","","","{0}: A number"
"BumpError_BossFurnaceRoom","BumpError_BossFurnaceRoom","Cannot move boss into the Pyre Room.","BumpError_BossFurnaceRoom","","","",""
"BumpError_DestroyedRoom","BumpError_DestroyedRoom","Can't move!","BumpError_DestroyedRoom","","","",""
"BumpError_FullRoom","BumpError_FullRoom","Cannot move into a full floor.","BumpError_FullRoom","","","",""
"BumpError_FurnaceRoom","BumpError_FurnaceRoom","Cannot move your units into the Pyre Room.","BumpError_FurnaceRoom","","","",""
"BumpError_ImmobileCharacter","BumpError_ImmobileCharacter","Immobile!","BumpError_ImmobileCharacter","","","",""
"BumpError_NoRoom","BumpError_NoRoom","Unit does not belong to a room.","BumpError_NoRoom","","","",""
"BumpError_SameRoom","BumpError_SameRoom","Can't move","BumpError_SameRoom","","","",""
"Cancel","Cancel","Cancel","Cancel","","","",""
"CapacityFormat","CapacityFormat","{0}[capacity]","CapacityFormat","","","","{0}: A number
[capacity]: <sprite name=""Capacity"">"
"Capacity_TooltipText","Capacity_TooltipText","Units can only be summoned on a floor if it has enough capacity.","Capacity_TooltipText","","","",""
"Capacity_TooltipTitle","Capacity_TooltipTitle","[capacity] Capacity","Capacity_TooltipTitle","","","","[capacity]: <sprite name=""Capacity"">"
"CardData_data-01500c4fb4e26ac4-83a72f78f0338a1479b0ef1f09e80eb1-v2","CardData_data-01500c4fb4e26ac4-83a72f78f0338a1479b0ef1f09e80eb1-v2","Three Divinities, Four Elemental Titans, and Two Judges. These were the Nine Divine that so ruled the Realm. The Divinities have been splintered; only one remains. Will this be the last unifier of our world? Titan against Titan? A dream, perhaps, but so was the Rail.","CardData_data-01500c4fb4e26ac4-83a72f78f0338a1479b0ef1f09e80eb1-v2","","","","(Group: 'CardData_RecruitEnemy')"
"CardData_data-015829b73c747021-0a834323f4800f8428a973cbcda158e9-v2","CardData_data-015829b73c747021-0a834323f4800f8428a973cbcda158e9-v2","Constructed bolts I gifted to the Umbra to dig deeper into the stone. When Morsels cannot break through it, these white-hot steel bolts should get the job done.","CardData_data-015829b73c747021-0a834323f4800f8428a973cbcda158e9-v2","","","","(Group: 'CardData_AnnihilateRoomDamage2')"
"CardData_data-03555e9aa6db01a2-6929f03e76aaf154385771a538fffe2c-v2","CardData_data-03555e9aa6db01a2-6929f03e76aaf154385771a538fffe2c-v2","Divines be Damned! Take it back, all of it! I don’t want this memory, this power, this grief. I gave it up once and I’ll do it again if it means I can live in peace. Have the years of endless labor not been enough to atone? Will it ever be enough!","CardData_data-03555e9aa6db01a2-6929f03e76aaf154385771a538fffe2c-v2","","","","(Group: 'CardData_BrokenMemories')"
"CardData_data-03acdb035040efef-f79325421a37bf943959e7b145081fbe-v2","CardData_data-03acdb035040efef-f79325421a37bf943959e7b145081fbe-v2","The Sentient once told me that the Wildwood was created when Pyre shards were scattered throughout the soil, fertilizing it with an otherworldly energy. Repeating that process now has a similar, though reduced, effect.","CardData_data-03acdb035040efef-f79325421a37bf943959e7b145081fbe-v2","","","","(Group: 'CardData_PyreGro')"
"CardData_data-041d4c2c69662612-6b25d89acab7bd4458460d4d3020995f-v2","CardData_data-041d4c2c69662612-6b25d89acab7bd4458460d4d3020995f-v2","Not all routes through the Boneshaker are immediately recognizable. I sealed many of them off to all but those who are willing to tear through steel and squeeze through the shreds.","CardData_data-041d4c2c69662612-6b25d89acab7bd4458460d4d3020995f-v2","","","","(Group: 'CardData_HiddenPassage')"
"CardData_data-065155aecede7d1e-09758e7ac6f943948a70eacaa04d01f4-v2","CardData_data-065155aecede7d1e-09758e7ac6f943948a70eacaa04d01f4-v2","Much to my dismay, the Umbra are able to withstand the heat output from the furnaces on the Boneshaker, allowing them to commune with its power and use it for themselves - at the cost of energy to the train.","CardData_data-065155aecede7d1e-09758e7ac6f943948a70eacaa04d01f4-v2","","","","(Group: 'CardData_FurnaceTap')"
"CardData_data-067fe5812e42fe8b-cb7f8f1805d4cd4449185ec893355baa-v2","CardData_data-067fe5812e42fe8b-cb7f8f1805d4cd4449185ec893355baa-v2","A defeated opponent's horns are broken as a ritualistic act of dominance. The horns are then collected by the victor as a trophy.","CardData_data-067fe5812e42fe8b-cb7f8f1805d4cd4449185ec893355baa-v2","","","","(Group: 'CardData_HornBreak')"
"CardData_data-06c1ea8faf9e9cf8-eab2c81fbabe4e747b14588954a82f05-v2","CardData_data-06c1ea8faf9e9cf8-eab2c81fbabe4e747b14588954a82f05-v2","The Wurmkin claim to be a clan of knowledge and peace while they hoard the lore of Titans as the world around them dies. However, no amount of clever words can write over the violent truth on which they live: Echoes need Souls. For a clan so obsessed with its own secrecy, those who will volunteer their souls are hard to come by. With so many Echoes breathing, the number of souls required to keep them alive is... unsettling. But I can no longer judge on these scales — that time has passed.","CardData_data-06c1ea8faf9e9cf8-eab2c81fbabe4e747b14588954a82f05-v2","","","","(Group: 'CardData_SoulCripple')"
"CardData_data-06c24fd03791f931-b390699688205b043a16fd9156b363c1-v2","CardData_data-06c24fd03791f931-b390699688205b043a16fd9156b363c1-v2","The Wurmkin treat the tunnels of the Bogwurm’s Remains as sacred ground, making minor adjustments to the structure to avoid risking its structural stability. Space is limited with no expansions made intentionally. So, when a tunnel collapse leads to a forgotten cavern, you can imagine the Wurmkin’s joy — or what passes for joy — at the new space and Echoes to explore.","CardData_data-06c24fd03791f931-b390699688205b043a16fd9156b363c1-v2","","","","(Group: 'CardData_UnearthedRemains')"
"CardData_data-082b3f408fb01c03-6db967eaf43e05a4cb25cbaa640d7dda-v2","CardData_data-082b3f408fb01c03-6db967eaf43e05a4cb25cbaa640d7dda-v2","Gorgers patrol the mines to collect errant Morsels, consuming them to return them back to the Shroud. They take great pleasure in their purpose, often consuming more Morsels than necessary.","CardData_data-082b3f408fb01c03-6db967eaf43e05a4cb25cbaa640d7dda-v2","","","","(Group: 'CardData_Feast')"
"CardData_data-0b8c964c2a59382d-25030a572163ea543ab21badb74f68a7-v2","CardData_data-0b8c964c2a59382d-25030a572163ea543ab21badb74f68a7-v2","While Morsels seem to be quick workers in their mine, they do not appear to be the most intelligent and have been the cause of many easily avoided accidents. I can only hope this will not be the case aboard the train.","CardData_data-0b8c964c2a59382d-25030a572163ea543ab21badb74f68a7-v2","","","","(Group: 'CardData_MineCollapse')"
"CardData_data-0c80e6a10774f8ee-36a045372c769384cbdc8090464740fa-v2","CardData_data-0c80e6a10774f8ee-36a045372c769384cbdc8090464740fa-v2","Alongside the few remaining Hellhorned scholars, I designed the Boneshaker to change its shape at will, creating hallways that stretch to near infinity for the Winged who choose to walk them.","CardData_data-0c80e6a10774f8ee-36a045372c769384cbdc8090464740fa-v2","","","","(Group: 'CardData_TiresomeClimb')"
"CardData_data-0ca22537907b49e8-988ad6229efa52249934a22734415a26-v2","CardData_data-0ca22537907b49e8-988ad6229efa52249934a22734415a26-v2","If struck by a surge of electricity, a Sapwood will crystallize into glass. The sap within will become preserved as a supercharged healing solvent. But I can't seem to break the glass without losing much of this sap in the process.","CardData_data-0ca22537907b49e8-988ad6229efa52249934a22734415a26-v2","","","","(Group: 'CardData_Glimmer')"
"CardData_data-0d08279b14cc0e75-1dad3a901de1e434fbeda1d96d66b243-v2","CardData_data-0d08279b14cc0e75-1dad3a901de1e434fbeda1d96d66b243-v2","When sap from Wildwood trees is consumed, it imparts the healing power of their reproductive spores. I also quite enjoy its floral sweetness.","CardData_data-0d08279b14cc0e75-1dad3a901de1e434fbeda1d96d66b243-v2","","","","(Group: 'CardData_RegenPotion')"
"CardData_data-0eab8ef429216a5f-286a918682a569143bd2afa48c0cec9a-v2","CardData_data-0eab8ef429216a5f-286a918682a569143bd2afa48c0cec9a-v2","I’d done my best to abandon guilt and grief all those years ago, but now that their spectre returns, so do the memories of why we met in the first place. To cope, the Wurmkin have given me a place in their cairns — a study of sorts — to tinker away on these crystals. It helps, but not much. For each new discovery I find, another memory terrorizes my dreams.","CardData_data-0eab8ef429216a5f-286a918682a569143bd2afa48c0cec9a-v2","","","","(Group: 'CardData_BoundingEchoes')"
"CardData_data-10f315427d82be47-8197c93d465e52749b322e1b4aa3503e-v2","CardData_data-10f315427d82be47-8197c93d465e52749b322e1b4aa3503e-v2","The Echoes’ hunger for souls is what ultimately led to my discovery of this place. Their appetite had grown beyond the souls that were lured below so the Echoes had begun to extend their powers to the surface, leeching souls directly from those that would choose to wander the Bogs.","CardData_data-10f315427d82be47-8197c93d465e52749b322e1b4aa3503e-v2","","","","(Group: 'CardData_ForcedContamination')"
